,URL,Tipo,A̱o,Mes
0,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/01200502_MESA.zip,1,2005,2
1,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/02197903_MESA.zip,2,1979,3
2,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/01198603_MESA.zip,1,1986,3
3,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/02199603_MESA.zip,2,1996,3
4,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/03199603_MESA.zip,3,1996,3
5,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/02200003_MESA.zip,2,2000,3
6,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/03200003_MESA.zip,3,2000,3
7,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/02200403_MESA.zip,2,2004,3
8,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/03200803_MESA.zip,3,2008,3
9,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/02201904_MESA.zip,2,2019,4
10,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/03201904_MESA.zip,3,2019,4
11,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/04199105_MESA.zip,4,1991,5
12,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/06199105_MESA.zip,6,1991,5
13,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/04199505_MESA.zip,4,1995,5
14,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/06199505_MESA.zip,6,1995,5
15,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/04200305_MESA.zip,4,2003,5
16,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/06200305_MESA.zip,6,2003,5
17,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/04200705_MESA.zip,4,2007,5
18,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/06200705_MESA.zip,6,2007,5
19,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/04201105_MESA.zip,4,2011,5
20,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/06201105_MESA.zip,6,2011,5
21,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/06201505_MESA.zip,6,2015,5
22,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/06201905_MESA.zip,6,2019,5
23,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/07201905_MESA.zip,7,2019,5
24,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/04202305_MESA.zip,4,2023,5
25,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/06202305_MESA.zip,6,2023,5
26,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/02197706_MESA.zip,2,1977,6
27,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/03197706_MESA.zip,3,1977,6
28,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/02198606_MESA.zip,2,1986,6
29,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/03198606_MESA.zip,3,1986,6
30,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/04198706_MESA.zip,4,1987,6
31,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/06198706_MESA.zip,6,1987,6
32,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/07198706_MESA.zip,7,1987,6
33,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/07198906_MESA.zip,7,1989,6
34,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/02199306_MESA.zip,2,1993,6
35,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/03199306_MESA.zip,3,1993,6
36,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/07199406_MESA.zip,7,1994,6
37,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/04199906_MESA.zip,4,1999,6
38,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/06199906_MESA.zip,6,1999,6
39,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/07199906_MESA.zip,7,1999,6
40,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/07200406_MESA.zip,7,2004,6
41,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/07200906_MESA.zip,7,2009,6
42,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/02201606_MESA.zip,2,2016,6
43,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/03201606_MESA.zip,3,2016,6
44,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/02202307_MESA.zip,2,2023,7
45,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/03202307_MESA.zip,3,2023,7
46,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/02198210_MESA.zip,2,1982,10
47,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/03198210_MESA.zip,3,1982,10
48,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/02198910_MESA.zip,2,1989,10
49,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/03198910_MESA.zip,3,1989,10
50,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/02201111_MESA.zip,2,2011,11
51,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/03201111_MESA.zip,3,2011,11
52,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/03201911_MESA.zip,3,2019,11
53,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/02201512_MESA.zip,2,2015,12
54,https://infoelectoral.interior.gob.es/estaticos/docxl/apliextr/03201512_MESA.zip,3,2015,12
